"","model","type","netCombo","baseline","CONS.s1","CONS.s2","CONS.s3","CONS.s4","CONS.ASOC.parents.solves_Mill_2","CONS.ASOC.scrounges_Mill_2","CONS.SOCIAL.parents.solves_Mill_2","CONS.SOCIAL.scrounges_Mill_2","OFFs1","OFFs2","OFFs3","OFFs4","OFFASOC.parents.solves_Mill_2","OFFASOC.scrounges_Mill_2","OFFSOCIAL.parents.solves_Mill_2","OFFSOCIAL.scrounges_Mill_2","convergence","loglik","Baseline.parameter1","Baseline.parameter2","s1","s2","s3","s4","ASOCIALparents.solves_Mill_2","ASOCIALscrounges_Mill_2","SOCIALparents.solves_Mill_2","SOCIALscrounges_Mill_2","SE.Baseline.parameter1","SE.Baseline.parameter2","SEs1","SEs2","SEs3","SEs4","SEasocialparents.solves_Mill_2","SEasocialscrounges_Mill_2","SEsocialparents.solves_Mill_2","SEsocialscrounges_Mill_2","aic","aicc","deltaAICc","RelSupport","AkaikeWeight"
"9",9,"unconstrained","1:2:3:4","weibull",1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,FALSE,234.818957881491,0.239410807041177,0.0853352236230697,0.180989177063749,0.0238256491183865,8.37148221435259,0.0273128055974578,-0.00346698866670472,-0.374231059419887,0.0354677175814391,0,2.95413658592721,0.0671632723551739,0.205598883489473,0.0308922572125586,2.64681703152683,0.338088578716089,0.0240444613864543,0.485500401062709,0.0200523584901385,0,487.637915762982,492.028159665421,60.9125389287956,5.92939294441397e-14,1.27637488131899e-14
"209",209,"socialEffectsOnly","1:2:0:0","weibull",1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,FALSE,241.730359849791,153.980914929559,7.47297534000437e-05,853.080796965954,95.8452936543014,0,0,0,0,0,-2.79268095451461,NA,NA,NA,NA,0,0,0,0,0,NA,493.460719699581,494.794053032914,63.678432296289,1.48731897532603e-14,3.20163733186833e-15
"77",77,"unconstrained","1:2:0:0","weibull",1,2,0,0,3,4,5,0,0,0,0,0,0,0,0,0,FALSE,239.214520521442,65.3778260089761,0.000349012069814085,1567.38009361597,38.9377997223942,0,0,0.142758108059932,-10.2433353231137,-0.109662862283497,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,492.429041042884,495.033692205675,63.9180714690494,1.31937160627039e-14,2.8401099288849e-15
"154",154,"socialEffectsOnly","1:2:0:3","weibull",1,2,0,3,0,0,0,4,0,0,0,0,0,0,0,0,FALSE,240.651679537161,82.7293930641874,7.04472686423483e-05,878.480199450034,71.4715413960056,0,662.039248932758,0,0,0,-2.8776341921413,NA,NA,NA,NA,0,NA,0,0,0,NA,493.303359074321,495.212449983412,64.0968292467869,1.20656403359837e-14,2.59727773083201e-15
"23",23,"unconstrained","1:2:0:0","weibull",1,2,0,0,3,4,5,6,0,0,0,0,0,0,0,0,FALSE,238.866877671305,52.8880238764482,0.000602977290021643,815.48347702388,13.6263521737066,0,0,0.135504477214026,-9.27694714255748,-0.118413259002654,-1.0910713132792,NA,NA,NA,NA,0,0,NA,NA,NA,NA,493.733755342609,497.16232677118,66.0467060345551,4.55134765779078e-15,9.79733655875682e-16
"149",149,"unconstrained","1:2:0:0","weibull",1,2,0,0,0,3,0,4,0,0,0,0,0,0,0,0,FALSE,241.731335159662,102.969715807428,9.95728141732941e-05,639.749511625921,71.8304658032428,0,0,0,-0.540799218969382,0,-2.79584964709598,NA,NA,NA,NA,0,0,0,NA,0,NA,495.462670319325,497.371761228416,66.2561404917904,4.09884878040442e-15,8.82327697738753e-16
"79",79,"unconstrained","1:2:0:3","weibull",1,2,0,3,0,4,0,5,0,0,0,0,0,0,0,0,FALSE,240.649203908509,73.2626110557864,0.000128759271631285,476.959910117674,39.9660694757436,0,379.483006974707,0,-0.388746157363146,0,-2.83771796138416,NA,NA,NA,NA,0,NA,0,NA,0,NA,495.298407817019,497.903058979809,66.7874382431839,3.1426213400387e-15,6.76487960492027e-16
"81",81,"unconstrained","1:2:0:3","weibull",1,2,0,3,4,0,0,5,0,0,0,0,0,0,0,0,FALSE,240.671724185654,37.1823754456025,0.000677172970228436,87.9395920875374,7.26618053400169,0,80.6807923115974,0.0949943858685294,0,0,-2.83560705041138,NA,0.000960387574171718,125.213081452896,10.4982074964092,0,137.975521355968,0.158173434964538,0,0,0.905709567062065,495.343448371309,497.948099534099,66.8324787974739,3.07263959826269e-15,6.61423528400713e-16
"76",76,"unconstrained","1:2:0:0","weibull",1,2,0,0,3,4,0,5,0,0,0,0,0,0,0,0,FALSE,240.719155918523,35.4910286060319,0.000912829546636129,62.2939512345078,7.04591662127965,0,0,0.115580261698162,-7.08200848536327,0,-2.6810690617731,NA,0.00104624049591582,76.1671899818898,8.10294544153721,0,0,0.0327396023816458,3.05422423261204,0,0.984383130704014,495.438311837046,498.042962999837,66.9273422632116,2.93030133750299e-15,6.30783464166907e-16
"4",4,"unconstrained","1:2:0:3","weibull",1,2,0,3,4,5,6,7,0,0,0,0,0,0,0,0,FALSE,238.00695580443,34.2197463777162,0.00146441100276797,160.865240709014,4.01377573843395,0,23.8508479814717,0.123677166291353,-7.45775320970726,-0.076189980083655,-1.76366801984705,NA,0.000935334376081725,168.64665163882,2.94358128667616,0,32.2469951074627,0.0192461809502972,1.79809383654235,0.0473389654716163,1.15018876737038,494.013911608861,498.4041555113,67.2885347746745,2.44613446107009e-15,5.26560579085928e-16
